累計,,,,,,,,,,,,,,,,,
公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額,,,公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額
1216 統一,2023/03,1,Y,03,NTD,"547,543,360","131,403,552",,,1217 愛之味,2023/03,1,Y,03,NTD,"14,052,221","1,171,271"
1216 統一,2023/06,2,Y,06,NTD,"646,100,882","268,802,050",,,1217 愛之味,2023/06,2,Y,06,NTD,"14,235,568","2,330,846"
1216 統一,2023/09,3,Y,09,NTD,"664,933,983","433,848,346",,,1217 愛之味,2023/09,3,Y,09,NTD,"14,429,664","3,957,479"
1216 統一,2023/12,4,Y,12,NTD,"665,879,318","581,102,935",,,1217 愛之味,2023/12,4,Y,12,NTD,"14,021,710","4,900,038"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
單季,,,,,,,,,,,,,,,,,
1216 統一,2023/03,1,Y,Q,03,"547,543,360","131,403,552",,,1217 愛之味,2023/03,1,Y,Q,03,"14,052,221","1,171,271"
1216 統一,2023/06,2,Y,Q,06,"646,100,882","137,398,498",,,1217 愛之味,2023/06,2,Y,Q,06,"14,235,568","1,159,575"
1216 統一,2023/09,3,Y,Q,09,"664,933,983","165,046,296",,,1217 愛之味,2023/09,3,Y,Q,09,"14,429,664","1,626,633"
1216 統一,2023/12,4,Y,Q,12,"665,879,318","147,254,589",,,1217 愛之味,2023/12,4,Y,Q,12,"14,021,710","942,559"
